MÊ;PRODUTO;PREÇO MÉDIO REVEN;;;;;;;;;;;;
out/18;OLEO DIESEL S10;3,783;;;;;;;;;;;;
nov/18;ETANOL HIDRATADO;2,917;;;;;;;;;;;;
nov/18;GASOLINA COMUM;4,590;;;;;;;;;;;;
nov/18;GLP;68,971;;;;;;;;;;;;
nov/18;GNV;3,005;;;;;;;;;;;;
nov/18;OLEO DIESEL;3,661;;;;;;;;;;;;
nov/18;OLEO DIESEL S10;3,747;;;;;;;;;;;;
dez/18;ETANOL HIDRATADO;2,828;;;;;;;;;;;;
dez/18;GASOLINA COMUM;4,365;;;;;;;;;;;;
dez/18;GLP;69,354;;;;;;;;;;;;
dez/18;GNV;3,052;;;;;;;;;;;;
dez/18;OLEO DIESEL;3,499;;;;;;;;;;;;
dez/18;OLEO DIESEL S10;3,604;;;;;;;;;;;;
jan/19;ETANOL HIDRATADO;2,812;;;;;;;;;;;;
jan/19;GASOLINA COMUM;4,268;;;;;;;;;;;;
jan/19;GLP;69,260;;;;;;;;;;;;
jan/19;GNV;3,084;;;;;;;;;;;;
jan/19;OLEO DIESEL;3,437;;;;;;;;;;;;
jan/19;OLEO DIESEL S10;3,543;;;;;;;;;;;;
fev/19;ETANOL HIDRATADO;2,783;;;;;;;;;;;;
fev/19;GASOLINA COMUM;4,190;;;;;;;;;;;;
fev/19;GLP;69,107;;;;;;;;;;;;
fev/19;GNV;3,131;;;;;;;;;;;;
fev/19;OLEO DIESEL;3,453;;;;;;;;;;;;
fev/19;OLEO DIESEL S10;3,549;;;;;;;;;;;;
mar/19;ETANOL HIDRATADO;2,950;;;;;;;;;;;;
mar/19;GASOLINA COMUM;4,305;;;;;;;;;;;;
mar/19;GLP;69,169;;;;;;;;;;;;
mar/19;GNV;3,154;;;;;;;;;;;;
mar/19;OLEO DIESEL;3,530;;;;;;;;;;;;
mar/19;OLEO DIESEL S10;3,619;;;;;;;;;;;;
abr/19;ETANOL HIDRATADO;3,002;;;;;;;;;;;;
abr/19;GASOLINA COMUM;4,437;;;;;;;;;;;;
